kpi_tags,kpi_name,kpi_id,kpi_category
"sales,  gap,  globalsales, gps, the gap, apparel retailers",Sales by Brand - Gap Global Sales,102,Sales by Brand
"sales,  oldnavyglobal, gps, the gap, apparel retailers",Sales by Brand - Old Navy Global,103,Sales by Brand
"sales,  oldnavy,  globalsales, gps, the gap, apparel retailers",Sales by Brand - Old Navy Global Sales,104,Sales by Brand
"sales,  othersales, gps, the gap, apparel retailers",Sales by Brand - Other Sales,105,Sales by Brand
"sales,  total,  net sales, gps, the gap, apparel retailers",Sales by Brand - Total net sales,106,Sales by Brand
"sales,  asiasales, gps, the gap, apparel retailers",Sales by Geographic Region - Asia Sales,107,Sales by Geographic Region
"sales,  canadasales, gps, the gap, apparel retailers",Sales by Geographic Region - Canada Sales,108,Sales by Geographic Region
"sales,  europesales, gps, the gap, apparel retailers",Sales by Geographic Region - Europe Sales,109,Sales by Geographic Region
"sales,  otherregionssales, gps, the gap, apparel retailers",Sales by Geographic Region - Other Regions Sales,110,Sales by Geographic Region
"sales,  total,  net sales, gps, the gap, apparel retailers",Sales by Geographic Region - Total net sales,111,Sales by Geographic Region
"sales,  totalsales, gps, the gap, apparel retailers",Sales by Geographic Region - total sales ,112,Sales by Geographic Region
"sales,  ussales, gps, the gap, apparel retailers",Sales by Geographic Region - U.S. Sales,113,Sales by Geographic Region
"segmentsales,  onlinesales, gps, the gap, apparel retailers",Segment Sales - Online sales,114,Segment Sales
"segmentsales,  storesales, gps, the gap, apparel retailers",Segment Sales - Store sales,115,Segment Sales
"segmentsales,  total,  net sales, gps, the gap, apparel retailers",Segment Sales - Total net sales,116,Segment Sales
"revenues,  category,  creditcard,  revenues, jwn, nordstrom, apparel retailers",Revenues by Category - Credit card revenues,117,Revenues by Category
"sales,  anniversaryeventsales, jwn, nordstrom, apparel retailers",Sales - Anniversary Event Sales,118,Sales
"sales,  digitalsales, jwn, nordstrom, apparel retailers",Sales - Digital Sales,119,Sales
"segment,  revenue,  nordstromracksales, jwn, nordstrom, apparel retailers",Segment Revenue - Nordstrom Rack Sales,120,Segment Revenue
"segment,  revenue,  nordstromsales, jwn, nordstrom, apparel retailers",Segment Revenue - Nordstrom Sales,121,Segment Revenue
"geographic,  revenues,  americas, levi, levi strauss & co., apparel retailers",Geographic revenues - Americas,122,Geographic revenues
"geographic,  revenues,  asia, levi, levi strauss & co., apparel retailers",Geographic revenues - Asia,123,Geographic revenues
"geographic,  revenues,  europe, levi, levi strauss & co., apparel retailers",Geographic revenues - Europe,124,Geographic revenues
"segment,  revenue,  channel,  direct,  consumer,  americas, levi, levi strauss & co., apparel retailers",Segment Revenue by Channel - Direct-to-consumer from Americas,125,Segment Revenue by Channel
"segment,  revenue,  channel,  direct,  consumer,  asia, levi, levi strauss & co., apparel retailers",Segment Revenue by Channel - Direct-to-consumer from Asia,126,Segment Revenue by Channel
"segment,  revenue,  channel,  direct,  consumer,  europe, levi, levi strauss & co., apparel retailers",Segment Revenue by Channel - Direct-to-consumer from Europe,127,Segment Revenue by Channel
"segment,  revenue,  channel,  wholesale,  revenue,  americas, levi, levi strauss & co., apparel retailers",Segment Revenue by Channel - Wholesale revenue from Americas,128,Segment Revenue by Channel
"segment,  revenue,  channel,  wholesale,  revenue,  asia, levi, levi strauss & co., apparel retailers",Segment Revenue by Channel - Wholesale revenue from Asia,129,Segment Revenue by Channel
"segment,  revenue,  channel,  wholesale,  revenue,  europe, levi, levi strauss & co., apparel retailers",Segment Revenue by Channel - Wholesale revenue from Europe,130,Segment Revenue by Channel
"revenue,  segment,  digitalsubscription,  content, plby, plby group , apparel retailers",Revenue by Segment - Digital Subscription and Content,131,Revenue by Segment
"revenue,  segment,  direct,  consumer, plby, plby group , apparel retailers",Revenue by Segment - Direct-to-Consumer,132,Revenue by Segment
"revenue,  segment,  licensing, plby, plby group , apparel retailers",Revenue by Segment - Licensing,133,Revenue by Segment
"revenue,  segment,  other, plby, plby group , apparel retailers",Revenue by Segment - Other,134,Revenue by Segment
"revenue,  consumerproducts, plby, plby group , apparel retailers",Revenue by Type - Consumer Products,135,Revenue by Type
"revenue,  magazine,  digitalsubscriptions, plby, plby group , apparel retailers",Revenue by Type - Magazine and Digital Subscriptions,136,Revenue by Type
"revenue,  trademarklicensing, plby, plby group , apparel retailers",Revenue by Type - Trademark Licensing,137,Revenue by Type
"revenue,  tv,  cableprogramming, plby, plby group , apparel retailers",Revenue by Type - TV and Cable Programming,138,Revenue by Type
"geographic,  revenue,  international,  othersales, plce, the children's place, apparel retailers",Geographic Revenue - International & Other Sales,139,Geographic Revenue
"geographic,  revenue,  midwestsales, plce, the children's place, apparel retailers",Geographic Revenue - Mid-West Sales,140,Geographic Revenue
"geographic,  revenue,  northeastsales, plce, the children's place, apparel retailers",Geographic Revenue - North East Sales,141,Geographic Revenue
"geographic,  revenue,  southsales, plce, the children's place, apparel retailers",Geographic Revenue - South Sales,142,Geographic Revenue
"geographic,  revenue,  westsales, plce, the children's place, apparel retailers",Geographic Revenue - West Sales,143,Geographic Revenue
"segment,  revenue,  the childrens place, international, plce, the children's place, apparel retailers",Segment Revenue - The Children's Place International,144,Segment Revenue
"segment,  revenue,  thechildrensplace,  US, plce, the children's place, apparel retailers",Segment Revenue - The Children's Place U.S.,145,Segment Revenue
"stores,  closed,  store,  count, plce, the children's place, apparel retailers",Stores - Closed store count,146,Stores
"stores,  total,  store,  count, plce, the children's place, apparel retailers",Stores - Total store count,147,Stores
"salesmix,  accessories,  lingerie,  finejewelry,  fragrances, rost, ross stores , apparel retailers","sales mix - Accessories, Lingerie, Fine Jewelry, and Fragrances",148,sales mix
"salesmix,  childrens, rost, ross stores , apparel retailers",sales mix - Children's,149,sales mix
"salesmix,  homeaccents,  bed,  bath, rost, ross stores , apparel retailers",sales mix - Home Accents and Bed and Bath,150,sales mix
"salesmix,  ladies, rost, ross stores , apparel retailers",sales mix - Ladies,151,sales mix
"salesmix,  mens, rost, ross stores , apparel retailers",sales mix - Men's,152,sales mix
"salesmix,  shoes, rost, ross stores , apparel retailers",sales mix - Shoes,153,sales mix
"store,  count,  beginningtheperiod, rost, ross stores , apparel retailers",Store Count - Beginning of the period,154,Store Count
"store,  count,  closed,  theperiod, rost, ross stores , apparel retailers",Store Count - Closed in the period,155,Store Count
"store,  count,  endtheperiod, rost, ross stores , apparel retailers",Store Count - End of the period,156,Store Count
"store,  count,  opened,  theperiod, rost, ross stores , apparel retailers",Store Count - Opened in the period,157,Store Count
"store,  count,  store,  countat,  endperiod, rost, ross stores , apparel retailers",Store count - Store count at end of period,158,Store count
"homegoodssales,  us, tjx, the tjx companies, apparel retailers",Geographic Sales - HomeGoods Sales From US,159,Geographic Sales
"marmaxxsales,  us, tjx, the tjx companies, apparel retailers",Geographic Sales - Marmaxx Sales From US,160,Geographic Sales
"tjxcanadasales, tjx, the tjx companies, apparel retailers",Geographic Sales - TJX Canada Sales,161,Geographic Sales
"tjxeurope, tjx, the tjx companies, apparel retailers",Geographic Sales - TJX Europe,162,Geographic Sales
"tjxinternationalsales, tjx, the tjx companies, apparel retailers",Geographic Sales - TJX International Sales,163,Geographic Sales
"tjxcanadasales	, tjx, the tjx companies, apparel retailers",Geographic Sales  - TJX Canada Sales 	,164,Geographic Sales 
"tjxinternational(europe,  australia)sales	, tjx, the tjx companies, apparel retailers",Geographic Sales  - TJX International (Europe & Australia) Sales 	,165,Geographic Sales 
"tjxinternational(europe,  australia)sales, tjx, the tjx companies, apparel retailers",Geographic Sales  - TJX International (Europe & Australia) Sales,166,Geographic Sales 
"homegoods(us)sales, tjx, the tjx companies, apparel retailers",Geographic Segment Sales  - HomeGoods (U.S.) Sales,167,Geographic Segment Sales 
"marmaxx(us)sales, tjx, the tjx companies, apparel retailers",Geographic Segment Sales  - Marmaxx (U.S.) Sales,168,Geographic Segment Sales 
"newly,  opened,  stores,  newly,  opened,  stores, tjx, the tjx companies, apparel retailers",Newly Opened Stores,169,Newly Opened Stores
"store,  count,  total,  store,  count, tjx, the tjx companies, apparel retailers",Store Count - Total Store Count,170,Store Count
"new store,  opened,  new store,  openedduringquarter, tlys, tilly's, apparel retailers",New Stores Opened - New Stores Opened During Quarter,171,New Stores Opened
"segment,  revenues,  ecommerce, tlys, tilly's, apparel retailers",Segment Revenues - E-commerce,172,Segment Revenues
"segment,  revenues,  proprietary, tlys, tilly's, apparel retailers",Segment Revenues - Proprietary,173,Segment Revenues
"segment,  revenues,  proprietary, tlys, tilly's, apparel retailers",Segment Revenues - Proprietary,173,Segment Revenues
"segment,  revenues,  retail,  stores, tlys, tilly's, apparel retailers",Segment Revenues - Retail stores,174,Segment Revenues
"segment,  revenues,  thirdparty, tlys, tilly's, apparel retailers",Segment Revenues - Third-party,175,Segment Revenues
"segment,  revenues,  thirdparty, tlys, tilly's, apparel retailers",Segment Revenues - Third-party,175,Segment Revenues
"stores,  stores,  permanentlyclosedduringquarter, tlys, tilly's, apparel retailers",Stores Permanently Closed During Quarter,176,Stores Permanently Closed During Quarter
"subsegment,  revenue,  category,  accessories, tlys, tilly's, apparel retailers",Sub Segment Revenue by Category - Accessories,177,Sub Segment Revenue by Category
"subsegment,  revenue,  category,  accessories, tlys, tilly's, apparel retailers",Sub Segment Revenue by Category - Accessories,177,Sub Segment Revenue by Category
"subsegment,  revenue,  category,  boys, tlys, tilly's, apparel retailers",Sub Segment Revenue by Category - Boys,178,Sub Segment Revenue by Category
"subsegment,  revenue,  category,  boys, tlys, tilly's, apparel retailers",Sub Segment Revenue by Category - Boys,178,Sub Segment Revenue by Category
"subsegment,  revenue,  category,  footwear, tlys, tilly's, apparel retailers",Sub Segment Revenue by Category - Footwear,179,Sub Segment Revenue by Category
"subsegment,  revenue,  category,  footwear, tlys, tilly's, apparel retailers",Sub Segment Revenue by Category - Footwear,179,Sub Segment Revenue by Category
"subsegment,  revenue,  category,  girls, tlys, tilly's, apparel retailers",Sub Segment Revenue by Category - Girls,180,Sub Segment Revenue by Category
"subsegment,  revenue,  category,  girls, tlys, tilly's, apparel retailers",Sub Segment Revenue by Category - Girls,180,Sub Segment Revenue by Category
"subsegment,  revenue,  category,  mens, tlys, tilly's, apparel retailers",Sub Segment Revenue by Category - Mens,181,Sub Segment Revenue by Category
"subsegment,  revenue,  category,  mens, tlys, tilly's, apparel retailers",Sub Segment Revenue by Category - Mens,181,Sub Segment Revenue by Category
"subsegment,  revenue,  category,  outdoor, tlys, tilly's, apparel retailers",Sub Segment Revenue by Category - Outdoor,182,Sub Segment Revenue by Category
"subsegment,  revenue,  category,  outdoor, tlys, tilly's, apparel retailers",Sub Segment Revenue by Category - Outdoor,182,Sub Segment Revenue by Category
"subsegment,  revenue,  category,  women, tlys, tilly's, apparel retailers",Sub Segment Revenue by Category - Women,183,Sub Segment Revenue by Category
"subsegment,  revenue,  category,  womens, tlys, tilly's, apparel retailers",Sub Segment Revenue by Category - Womens,184,Sub Segment Revenue by Category
"total gross,  square footageendquarter,  total gross,  square footage,  at,  endquarter, tlys, tilly's, apparel retailers",Total Gross Square Footage at End of Quarter,185,Total Gross Square Footage at End of Quarter
"total,  storesendquarter,  total,  stores,  at,  endquarter, tlys, tilly's, apparel retailers",Total Stores at End of Quarter,186,Total Stores at End of Quarter
"customers,  newcustomers, tpr, tapestry, apparel retailers",Customers - new customers,187,Customers
"geographic,  revenues,  china,  revenues, tpr, tapestry, apparel retailers",Geographic Revenues - Greater China Revenues,188,Geographic Revenues
"geographic,  revenues,  northamerica,  revenues, tpr, tapestry, apparel retailers",Geographic Revenues - North America Revenues,189,Geographic Revenues
